NrFeat,Model,Step,train.isOptimal,validation.isOptimal,test.isOptimal
1,5,34,0.6167,0.5667,0.6131
1,5,35,0.6417,0.6333,0.6633
1,5,36,0.6542,0.6667,0.6583
1,5,37,0.7000,0.6667,0.6432
1,5,38,0.7000,0.7000,0.6030
1,5,39,0.7000,0.6500,0.5879
1,5,40,0.6833,0.6333,0.5628
1,5,41,0.6250,0.6167,0.5879
1,5,42,0.6292,0.6000,0.5980
1,5,43,0.6500,0.6000,0.5980
1,5,44,0.6625,0.6000,0.6432
1,5,45,0.6458,0.6333,0.6784
1,5,46,0.6458,0.6167,0.6784
1,5,47,0.6042,0.7000,0.5930
1,5,48,0.6375,0.7333,0.5477
1,5,49,0.5792,0.7667,0.5879
1,5,50,0.5583,0.6833,0.5829
1,5,51,0.5625,0.6833,0.6131
1,5,52,0.5417,0.6667,0.6382
1,5,53,0.5375,0.5833,0.6734
1,5,54,0.5292,0.5833,0.6784
1,5,55,0.5583,0.5500,0.6482
1,5,56,0.5875,0.6500,0.6432
1,5,57,0.5708,0.6500,0.6332
1,5,58,0.6000,0.6000,0.6482
1,5,59,0.6208,0.6333,0.6231
1,5,60,0.6167,0.6333,0.6382
1,5,61,0.5833,0.6333,0.6332
1,5,62,0.5667,0.5833,0.6583
1,5,63,0.5833,0.6167,0.6884
1,5,64,0.5500,0.6667,0.6281
1,5,65,0.5792,0.6833,0.6332
1,5,66,0.6500,0.7167,0.6784
1,5,67,0.6292,0.7333,0.6332
1,5,68,0.6083,0.7500,0.6382
1,5,69,0.6125,0.6667,0.6231
1,5,70,0.5708,0.6667,0.6583
1,5,71,0.5708,0.6500,0.6583
1,5,72,0.5792,0.6167,0.5779
1,5,73,0.6083,0.5833,0.6131
1,5,74,0.5917,0.6333,0.6131
1,5,75,0.6333,0.5500,0.6181
1,5,76,0.6333,0.6333,0.6181
1,5,77,0.6292,0.6333,0.5779
1,5,78,0.6583,0.6833,0.5930
1,5,79,0.7167,0.6333,0.6181
1,5,80,0.7250,0.7333,0.6332
1,5,81,0.6792,0.7500,0.6583
1,5,82,0.6792,0.7000,0.6432
1,5,83,0.6875,0.7000,0.6482
1,5,84,0.7000,0.7500,0.6784
1,5,85,0.7083,0.7833,0.6884
1,5,86,0.7292,0.8000,0.6935
1,5,87,0.7500,0.8167,0.7236
1,5,88,0.7500,0.8167,0.7789
1,5,89,0.7750,0.7833,0.7889
1,5,90,0.7750,0.7500,0.8291
1,5,91,0.8000,0.7833,0.8492
1,5,92,0.8500,0.8500,0.8291
1,5,93,0.8833,0.9333,0.8693
1,5,94,0.8875,0.9500,0.9045
1,5,95,0.8958,0.9500,0.9246
1,5,96,0.9375,0.9500,0.9146
1,5,97,0.9625,0.9500,0.9447
1,5,98,0.9792,0.9667,0.9598
1,5,99,0.9917,0.9833,0.9899
1,5,100,1.0000,1.0000,1.0000
1,6,1,0.7583,0.7167,0.6884
1,6,2,0.5250,0.5000,0.5025
1,6,3,0.5542,0.5167,0.5628
1,6,4,0.5875,0.6000,0.6131
1,6,5,0.6208,0.6000,0.6432
1,6,6,0.6583,0.6000,0.6583
1,6,7,0.6708,0.6500,0.6734
1,6,8,0.6750,0.6500,0.6734
1,6,9,0.6625,0.6333,0.6482
1,6,10,0.6542,0.6333,0.6533
1,6,11,0.6417,0.6833,0.6583
1,6,12,0.6208,0.6667,0.6633
1,6,13,0.6542,0.6833,0.6884
1,6,14,0.6625,0.6833,0.6884
1,6,15,0.6917,0.6833,0.6683
1,6,16,0.6833,0.7500,0.6734
1,6,17,0.6917,0.7333,0.6583
1,6,18,0.6958,0.8000,0.6432
1,6,19,0.7292,0.7667,0.6734
1,6,20,0.7333,0.7833,0.6834
1,6,21,0.7625,0.8167,0.7035
1,6,22,0.7750,0.7667,0.6935
1,6,23,0.7417,0.7333,0.6683
1,6,24,0.7125,0.6833,0.6884
1,6,25,0.7167,0.6500,0.7085
1,6,26,0.7208,0.6667,0.7236
1,6,27,0.7167,0.6833,0.7186
1,6,28,0.7208,0.7167,0.6884
1,6,29,0.7542,0.7000,0.7085
1,6,30,0.7625,0.7167,0.7186
1,6,31,0.7500,0.6833,0.6884
1,6,32,0.7542,0.7167,0.6683
1,6,33,0.7292,0.7167,0.6683
1,6,34,0.6917,0.7667,0.6834
1,6,35,0.7125,0.7333,0.6633
1,6,36,0.7208,0.7000,0.6884
1,6,37,0.7333,0.7000,0.6683
1,6,38,0.7208,0.7000,0.6784
1,6,39,0.7167,0.6500,0.6985
1,6,40,0.6917,0.6333,0.7136
1,6,41,0.7125,0.6333,0.6784
