Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
j.rndn.6x5.train.229,j,rndn,train,229,6,5,30,451
j.rndn.6x5.train.230,j,rndn,train,230,6,5,30,491
j.rndn.6x5.train.231,j,rndn,train,231,6,5,30,466
j.rndn.6x5.train.232,j,rndn,train,232,6,5,30,458
j.rndn.6x5.train.233,j,rndn,train,233,6,5,30,512
j.rndn.6x5.train.234,j,rndn,train,234,6,5,30,459
j.rndn.6x5.train.235,j,rndn,train,235,6,5,30,497
j.rndn.6x5.train.236,j,rndn,train,236,6,5,30,465
j.rndn.6x5.train.237,j,rndn,train,237,6,5,30,502
j.rndn.6x5.train.238,j,rndn,train,238,6,5,30,414
j.rndn.6x5.train.239,j,rndn,train,239,6,5,30,458
j.rndn.6x5.train.240,j,rndn,train,240,6,5,30,437
j.rndn.6x5.train.241,j,rndn,train,241,6,5,30,499
j.rndn.6x5.train.242,j,rndn,train,242,6,5,30,449
j.rndn.6x5.train.243,j,rndn,train,243,6,5,30,465
j.rndn.6x5.train.244,j,rndn,train,244,6,5,30,446
j.rndn.6x5.train.245,j,rndn,train,245,6,5,30,443
j.rndn.6x5.train.246,j,rndn,train,246,6,5,30,463
j.rndn.6x5.train.247,j,rndn,train,247,6,5,30,406
j.rndn.6x5.train.248,j,rndn,train,248,6,5,30,461
j.rndn.6x5.train.249,j,rndn,train,249,6,5,30,498
j.rndn.6x5.train.250,j,rndn,train,250,6,5,30,451
j.rndn.6x5.train.251,j,rndn,train,251,6,5,30,503
j.rndn.6x5.train.252,j,rndn,train,252,6,5,30,459
j.rndn.6x5.train.253,j,rndn,train,253,6,5,30,360
j.rndn.6x5.train.254,j,rndn,train,254,6,5,30,458
j.rndn.6x5.train.255,j,rndn,train,255,6,5,30,458
j.rndn.6x5.train.256,j,rndn,train,256,6,5,30,465
j.rndn.6x5.train.257,j,rndn,train,257,6,5,30,404
j.rndn.6x5.train.258,j,rndn,train,258,6,5,30,500
j.rndn.6x5.train.259,j,rndn,train,259,6,5,30,455
j.rndn.6x5.train.260,j,rndn,train,260,6,5,30,459
j.rndn.6x5.train.261,j,rndn,train,261,6,5,30,497
j.rndn.6x5.train.262,j,rndn,train,262,6,5,30,418
j.rndn.6x5.train.263,j,rndn,train,263,6,5,30,507
j.rndn.6x5.train.264,j,rndn,train,264,6,5,30,464
j.rndn.6x5.train.265,j,rndn,train,265,6,5,30,411
j.rndn.6x5.train.266,j,rndn,train,266,6,5,30,498
j.rndn.6x5.train.267,j,rndn,train,267,6,5,30,400
j.rndn.6x5.train.268,j,rndn,train,268,6,5,30,448
j.rndn.6x5.train.269,j,rndn,train,269,6,5,30,442
j.rndn.6x5.train.270,j,rndn,train,270,6,5,30,371
j.rndn.6x5.train.271,j,rndn,train,271,6,5,30,438
j.rndn.6x5.train.272,j,rndn,train,272,6,5,30,455
j.rndn.6x5.train.273,j,rndn,train,273,6,5,30,451
j.rndn.6x5.train.274,j,rndn,train,274,6,5,30,564
j.rndn.6x5.train.275,j,rndn,train,275,6,5,30,462
j.rndn.6x5.train.276,j,rndn,train,276,6,5,30,453
j.rndn.6x5.train.277,j,rndn,train,277,6,5,30,456
j.rndn.6x5.train.278,j,rndn,train,278,6,5,30,522
j.rndn.6x5.train.279,j,rndn,train,279,6,5,30,463
j.rndn.6x5.train.280,j,rndn,train,280,6,5,30,506
j.rndn.6x5.train.281,j,rndn,train,281,6,5,30,460
j.rndn.6x5.train.282,j,rndn,train,282,6,5,30,447
j.rndn.6x5.train.283,j,rndn,train,283,6,5,30,451
j.rndn.6x5.train.284,j,rndn,train,284,6,5,30,405
