Problem,Track,Step,Followed,best.mu,worst.mu,mu
f.jc,RND,16,TRUE,8.93612,8.93612,8.93612
f.jc,RND,17,FALSE,8.93612,10.71878,9.36493633333333
f.jc,RND,17,TRUE,9.24834,9.24834,9.24834
f.jc,RND,18,FALSE,9.24834,10.80942,9.664625
f.jc,RND,18,TRUE,9.75014,9.75014,9.75014
f.jc,RND,19,FALSE,9.75014,11.17628,10.1169183333333
f.jc,RND,19,TRUE,10.0921,10.0921,10.0921
f.jc,RND,20,FALSE,10.0921,11.35404,10.4425133333333
f.jc,RND,20,TRUE,10.4969,10.4969,10.4969
f.jc,RND,21,FALSE,10.4969,11.66522,10.855985
f.jc,RND,21,TRUE,10.83206,10.83206,10.83206
f.jc,RND,22,FALSE,10.83206,11.98976,11.2019186666667
f.jc,RND,22,TRUE,11.24284,11.24284,11.24284
f.jc,RND,23,FALSE,11.24798,12.2902,11.5789106666667
f.jc,RND,23,TRUE,11.57504,11.57504,11.57504
f.jc,RND,24,FALSE,11.57504,12.45864,11.8932383333333
f.jc,RND,24,TRUE,11.96472,11.96472,11.96472
f.jc,RND,25,FALSE,12.0375,12.68778,12.276695
f.jc,RND,25,TRUE,12.30992,12.30992,12.30992
f.jc,RND,26,FALSE,12.3265040650407,12.9954674796748,12.6096764905149
f.jc,RND,26,TRUE,12.576,12.576,12.576
f.jc,RND,27,FALSE,12.7122510822511,13.1260822510823,12.8930194805195
f.jc,RND,27,TRUE,12.73398,12.73398,12.73398
f.jc,RND,28,FALSE,13.1580620155039,13.5503359173127,13.3541989664083
f.jc,RND,28,TRUE,12.88358,12.88358,12.88358
f.jc,RND,29,FALSE,14.1449576271186,14.1449576271186,14.1449576271186
f.jc,RND,29,TRUE,13.133,13.133,13.133
f.jc,RND,30,TRUE,13.133,13.133,13.133
