Generation,CountEval,Fitness,phi.proc.1,phi.startTime.1,phi.endTime.1,phi.jobOps.1,phi.arrival.1,phi.procTotal.1,phi.wait.1,phi.mac.1,phi.macOps.1,phi.macFree.1,phi.makespan.1,phi.step.1,phi.slotReduced.1,phi.slots.1,phi.slotsTotal.1,phi.wrmMac.1,phi.wrmJob.1,phi.wrmTotal.1
1725,20700,6.4596,0.136565516750415,-0.303217817421221,-0.390468929449347,-0.281154152912827,-0.145335843552372,-0.00899319679103389,-0.128374983400296,-0.0684775882523622,-0.125246633469189,-0.378450856039732,-0.247508217321489,0.195087360140807,0.0998867639535935,-0.179553422087253,-0.0781894738243002,-0.276246789700025,0.468623042815354,0.114197502383794
1726,20712,6.4596,0.136565472359283,-0.303217794528062,-0.390468894727844,-0.281154164943855,-0.145335801120414,-0.00899320210210348,-0.128374933520116,-0.0684774936176335,-0.125246685173052,-0.378450879139842,-0.247508277489244,0.195087347757055,0.0998867554666722,-0.179553458361873,-0.0781895534285558,-0.276246756514978,0.468623078492503,0.114197459003968
1727,20724,6.4596,0.136565461491628,-0.303217754573404,-0.390468864562948,-0.281154187899707,-0.145335794188265,-0.00899320953913519,-0.128374888973296,-0.0684775186186332,-0.125246640794259,-0.378450942557324,-0.247508276139914,0.195087346390282,0.0998867481245918,-0.179553493464875,-0.0781894855041728,-0.276246731837487,0.468623092395097,0.114197512181419
1728,20736,6.4596,0.136565487710405,-0.303217713739367,-0.390468877798489,-0.281154236468494,-0.145335741300018,-0.00899328162060546,-0.128374860009029,-0.068477470601371,-0.125246556292287,-0.378450956020746,-0.247508258317447,0.195087352493056,0.099886741548645,-0.179553496155799,-0.0781895484948384,-0.276246639863396,0.46862315056689,0.114197565831218
1729,20748,6.4596,0.136565435821831,-0.303217758984868,-0.390468900496509,-0.281154213757841,-0.145335770876851,-0.00899325741584761,-0.128374894699498,-0.068477505244175,-0.125246576735499,-0.378450892694159,-0.247508255382607,0.195087374596561,0.0998867648714616,-0.179553479883262,-0.0781895290942364,-0.276246677190936,0.468623128044816,0.114197567183436
1730,20760,6.4596,0.136565401785321,-0.303217680102187,-0.390468863749424,-0.281154276430234,-0.145335755358402,-0.00899329281941597,-0.128374857276232,-0.0684774571115523,-0.125246546590983,-0.378450952233821,-0.247508287974458,0.195087352084429,0.0998867685769304,-0.179553480308659,-0.0781895326352385,-0.276246643799357,0.468623169409867,0.114197584837452
1731,20772,6.4596,0.136565380870823,-0.303217577496608,-0.390468846467311,-0.28115434949312,-0.145335757744081,-0.00899337230648587,-0.128374851102328,-0.0684774096148284,-0.125246441634938,-0.378450993113132,-0.247508290854364,0.195087345131427,0.0998867868913559,-0.179553461593128,-0.0781895306861916,-0.276246585457986,0.468623235025066,0.114197659507301
1732,20784,6.4596,0.136565349302864,-0.303217625601589,-0.390468853739572,-0.281154307121838,-0.14533572186001,-0.00899337517425344,-0.128374826990664,-0.0684774026085522,-0.125246433314732,-0.378450978384578,-0.247508296831963,0.195087370503169,0.099886818848124,-0.179553476985107,-0.0781895607441463,-0.276246549823556,0.468623250124989,0.114197678871251
1733,20796,6.4596,0.136565353480808,-0.303217597804635,-0.390468866382927,-0.281154340587915,-0.145335719535682,-0.00899345557112281,-0.128374856096066,-0.0684773814346974,-0.125246333080669,-0.378450946934165,-0.247508269638598,0.195087396394799,0.0998868291324335,-0.179553437167115,-0.0781895782747342,-0.276246505809155,0.468623300159103,0.114197770285228
1734,20808,6.4596,0.13656538998008,-0.303217515215647,-0.390468864887009,-0.281154421584042,-0.14533569105105,-0.00899350911736342,-0.128374837201498,-0.0684773336348622,-0.125246286760951,-0.378450974521273,-0.247508272671671,0.195087362941218,0.0998867967070665,-0.179553428416888,-0.0781896118207248,-0.276246473517959,0.468623342871049,0.114197765511918
1735,20820,6.4596,0.136565410477478,-0.303217496668392,-0.390468862790702,-0.281154456451895,-0.1453356997027,-0.00899349604941943,-0.128374837465088,-0.0684773354024559,-0.125246266948739,-0.378450993987963,-0.247508264721944,0.195087346298912,0.099886789396008,-0.179553439562592,-0.0781895603489287,-0.276246502235049,0.468623319763272,0.114197752579199
1736,20832,6.4596,0.136565357022305,-0.30321745213327,-0.390468847493243,-0.281154494209182,-0.145335667692083,-0.00899356216185038,-0.128374794532118,-0.0684773051194545,-0.125246194213049,-0.378451028061689,-0.247508275161571,0.19508734985741,0.0998868063845315,-0.179553428032822,-0.0781895857760779,-0.276246424415122,0.468623391635559,0.114197813372576
1737,20844,6.4596,0.136565236000223,-0.303217513796053,-0.390468785840676,-0.281154459635461,-0.145335686754539,-0.00899350443370026,-0.128374783644492,-0.0684772869968386,-0.12524628724574,-0.378451025175566,-0.247508331144308,0.195087336427442,0.0998868142861741,-0.179553439177871,-0.078189541228824,-0.276246495166787,0.468623374325862,0.114197808777628
1738,20856,6.4596,0.136565243172346,-0.30321750327474,-0.390468816461632,-0.281154487383237,-0.145335675024442,-0.00899356765181493,-0.128374799656064,-0.0684772404839348,-0.125246208964434,-0.378450993264742,-0.247508310717658,0.195087351803551,0.0998868347521649,-0.179553401137435,-0.0781895951103276,-0.276246448326774,0.468623413482441,0.114197842216541
1739,20868,6.4596,0.136565224030063,-0.303217523513388,-0.390468824708556,-0.281154478800292,-0.145335689685296,-0.00899353380747698,-0.128374799531379,-0.0684772868741346,-0.125246237163891,-0.378450974646125,-0.247508313281358,0.195087352111367,0.0998868415537873,-0.179553418712616,-0.0781895642497611,-0.276246483465167,0.468623379364264,0.114197827879692
1740,20880,6.4596,0.136565230568039,-0.303217504255385,-0.390468773758049,-0.281154466275401,-0.145335672116836,-0.00899350164938077,-0.128374764541501,-0.0684772370508235,-0.125246322167068,-0.37845102961699,-0.247508359642522,0.195087329813693,0.0998868074355568,-0.179553435375647,-0.0781895930419483,-0.276246508204269,0.468623380139787,0.114197753456681
1741,20892,6.4596,0.136565213524319,-0.30321758795508,-0.390468817134077,-0.281154407747517,-0.145335685623391,-0.00899346726956195,-0.128374797704943,-0.0684772419723157,-0.125246381931922,-0.378450962057485,-0.247508344822172,0.195087329977819,0.0998868308280233,-0.179553407898835,-0.0781896414503095,-0.276246544380607,0.468623357824995,0.114197676510784
1742,20904,6.4596,0.136565172873031,-0.303217607113648,-0.390468824214471,-0.281154362690402,-0.145335741057265,-0.00899346049463827,-0.128374861131126,-0.0684772719943194,-0.125246393973537,-0.378450938864753,-0.247508327068399,0.195087332336196,0.0998868618126677,-0.179553380777688,-0.0781896141359557,-0.27624656870144,0.468623351484572,0.114197701190081
1743,20916,6.4596,0.136565181260864,-0.303217624474206,-0.390468852451576,-0.28115437406704,-0.145335743424714,-0.00899347426825439,-0.128374876867871,-0.0684772987889484,-0.125246357537322,-0.378450909974884,-0.247508305530446,0.195087343158625,0.0998868679500055,-0.179553361649965,-0.0781895913687134,-0.276246567477381,0.468623342737406,0.114197725695728
1744,20928,6.4596,0.136565144628223,-0.303217622557111,-0.390468853508956,-0.281154384714141,-0.145335730963392,-0.0089934846118496,-0.12837486560828,-0.0684772934071669,-0.125246338134319,-0.378450903555282,-0.247508307443986,0.195087355667177,0.0998868685959181,-0.179553371766999,-0.0781895957283058,-0.276246549580818,0.468623358325865,0.114197752599138
1745,20940,6.4596,0.13656515480123,-0.303217579468107,-0.390468829371723,-0.281154413561666,-0.145335744116228,-0.00899350505279652,-0.128374862025635,-0.0684772767610342,-0.125246301820041,-0.378450932586514,-0.247508318209249,0.19508735309516,0.0998868685693584,-0.179553372173281,-0.0781895597178546,-0.27624653387042,0.468623373291135,0.114197787323884
1746,20952,6.4596,0.136565089940479,-0.303217602472314,-0.390468813562284,-0.281154395737537,-0.145335746105031,-0.0089934979802364,-0.128374858634813,-0.0684772464178894,-0.125246350348396,-0.378450916847647,-0.247508355655065,0.19508734634373,0.0998868704019822,-0.17955336743455,-0.0781895893142053,-0.276246535159333,0.468623388253179,0.11419777215696
1747,20964,6.4596,0.136565133935587,-0.303217578567444,-0.390468792348,-0.281154388221004,-0.145335768062263,-0.00899345515926836,-0.128374872329824,-0.0684772714729997,-0.125246401686181,-0.378450952578639,-0.247508354710721,0.195087318567174,0.0998868355743507,-0.179553404237152,-0.07818955152727,-0.276246572418443,0.468623354448616,0.114197740909908
1748,20976,6.4596,0.136565151326314,-0.303217571391934,-0.390468817456246,-0.281154406795292,-0.145335764729314,-0.00899345699133106,-0.12837486435918,-0.0684772895186367,-0.125246382065367,-0.378450939111196,-0.247508347648669,0.195087324753207,0.0998868301648544,-0.17955340393121,-0.0781895489703728,-0.276246560568757,0.46862334897319,0.114197738806799
1749,20988,6.4596,0.136565177603609,-0.303217510712642,-0.390468804600159,-0.281154433215352,-0.145335725804679,-0.00899348797584255,-0.128374829087826,-0.0684772676862023,-0.125246344649358,-0.378450992120224,-0.247508345226893,0.195087319212195,0.099886821366694,-0.17955342466521,-0.0781895735211236,-0.27624651951981,0.468623382715014,0.114197746449441
1750,21000,6.4596,0.136565200786025,-0.303217545910225,-0.390468816357252,-0.281154398115633,-0.14533572757558,-0.00899345477690109,-0.128374828566662,-0.0684773045479526,-0.125246369219009,-0.378450995573485,-0.247508325477115,0.195087319052189,0.0998868165206268,-0.179553429219881,-0.0781895593892275,-0.276246540466128,0.468623355966581,0.114197720864384
1751,21012,6.4596,0.136565204808682,-0.303217530459326,-0.39046883024414,-0.281154399002494,-0.145335706504111,-0.00899349975342338,-0.12837482567132,-0.068477268785334,-0.125246335347408,-0.378451000608019,-0.247508322413494,0.195087322453357,0.0998868267153491,-0.179553407135371,-0.0781896118371636,-0.276246487741762,0.468623396468553,0.114197727914142
1752,21024,6.4596,0.136565211180436,-0.303217499639835,-0.390468848788492,-0.28115442624542,-0.145335683512761,-0.00899354288060238,-0.128374806111573,-0.0684772593698583,-0.125246280265796,-0.378451003249048,-0.247508313556915,0.195087331995834,0.0998868282426385,-0.179553392281562,-0.0781896294759434,-0.276246450626111,0.468623428268072,0.114197748928954
1753,21036,6.4596,0.136565265831973,-0.303217505075889,-0.390468868362334,-0.281154409154935,-0.145335649862117,-0.00899354968329228,-0.128374790936434,-0.0684772565853486,-0.125246283818314,-0.37845099857065,-0.247508300719055,0.195087344613748,0.0998868241741545,-0.179553410215606,-0.0781896739350595,-0.2762464337799,0.468623425838151,0.114197718827215
1754,21048,6.4596,0.136565344856759,-0.303217510026038,-0.390468908178394,-0.281154410434613,-0.145335596033374,-0.00899355778285289,-0.128374750547039,-0.0684772695468927,-0.125246254952292,-0.378451008536303,-0.247508273435146,0.195087360757798,0.0998868068487471,-0.179553424145073,-0.0781897220443843,-0.276246390392699,0.468623422953742,0.114197684680346
1755,21060,6.4596,0.136565398153724,-0.303217506043462,-0.390468908107737,-0.281154394279837,-0.145335572951334,-0.00899353096299271,-0.1283747295552,-0.068477262759473,-0.125246293355525,-0.378451037645369,-0.247508277903737,0.19508735019346,0.0998867795455386,-0.17955343957796,-0.0781897512022426,-0.276246397209234,0.468623410665163,0.114197614056006
1756,21072,6.4596,0.136565361591156,-0.303217519713435,-0.390468915264163,-0.281154388701813,-0.145335572711603,-0.00899353422368135,-0.128374722201592,-0.0684772644027547,-0.125246286013256,-0.378451030552794,-0.247508276822982,0.195087361041568,0.099886793806889,-0.179553428413169,-0.0781897470214587,-0.276246401577217,0.468623416883837,0.114197605301723
1757,21084,6.4596,0.136565346973818,-0.303217559989938,-0.390468922000923,-0.281154353266014,-0.14533563755346,-0.00899347552677371,-0.128374783025349,-0.0684773223992084,-0.125246358440701,-0.378450982277032,-0.247508281958368,0.195087362734094,0.0998867899683204,-0.179553407301324,-0.0781897210125667,-0.276246465480749,0.468623362156657,0.114197589881583
1758,21096,6.4596,0.136565283453168,-0.30321760390256,-0.390468896168834,-0.281154324955887,-0.145335665293784,-0.008993404318116,-0.128374774369945,-0.0684773658664712,-0.125246445579442,-0.378450975471793,-0.247508312929929,0.195087363096457,0.0998867931654207,-0.179553422461603,-0.0781896690024574,-0.276246531028174,0.46862331477151,0.114197565346432
1759,21108,6.4596,0.136565375691277,-0.303217574726356,-0.390468921825537,-0.281154333513207,-0.145335631401277,-0.00899343423133858,-0.128374756807015,-0.0684773810740625,-0.125246370219808,-0.378451011792003,-0.24750826399932,0.195087369691131,0.099886785392397,-0.179553439706539,-0.0781896627692826,-0.276246489582826,0.468623324815013,0.114197575183577
