Name,Shop,Distribution,Set,PID,NumJobs,NumMachines,Dimension,Makespan
f.rnd.10x10.train.272,f,rnd,train,272,10,10,100,1164
f.rnd.10x10.train.273,f,rnd,train,273,10,10,100,1255
f.rnd.10x10.train.274,f,rnd,train,274,10,10,100,1163
f.rnd.10x10.train.275,f,rnd,train,275,10,10,100,1213
f.rnd.10x10.train.276,f,rnd,train,276,10,10,100,1105
f.rnd.10x10.train.277,f,rnd,train,277,10,10,100,1173
f.rnd.10x10.train.278,f,rnd,train,278,10,10,100,1316
f.rnd.10x10.train.279,f,rnd,train,279,10,10,100,1261
f.rnd.10x10.train.280,f,rnd,train,280,10,10,100,1172
f.rnd.10x10.train.281,f,rnd,train,281,10,10,100,1114
f.rnd.10x10.train.282,f,rnd,train,282,10,10,100,1118
f.rnd.10x10.train.283,f,rnd,train,283,10,10,100,1232
f.rnd.10x10.train.284,f,rnd,train,284,10,10,100,1090
f.rnd.10x10.train.285,f,rnd,train,285,10,10,100,1174
f.rnd.10x10.train.286,f,rnd,train,286,10,10,100,1125
f.rnd.10x10.train.287,f,rnd,train,287,10,10,100,1275
f.rnd.10x10.train.288,f,rnd,train,288,10,10,100,1227
f.rnd.10x10.train.289,f,rnd,train,289,10,10,100,1332
f.rnd.10x10.train.290,f,rnd,train,290,10,10,100,1105
f.rnd.10x10.train.291,f,rnd,train,291,10,10,100,1200
f.rnd.10x10.train.292,f,rnd,train,292,10,10,100,1219
f.rnd.10x10.train.293,f,rnd,train,293,10,10,100,1171
f.rnd.10x10.train.294,f,rnd,train,294,10,10,100,1191
f.rnd.10x10.train.295,f,rnd,train,295,10,10,100,1149
f.rnd.10x10.train.296,f,rnd,train,296,10,10,100,1144
f.rnd.10x10.train.297,f,rnd,train,297,10,10,100,1261
f.rnd.10x10.train.298,f,rnd,train,298,10,10,100,1177
f.rnd.10x10.train.299,f,rnd,train,299,10,10,100,1110
f.rnd.10x10.train.300,f,rnd,train,300,10,10,100,1313
f.rnd.10x10.train.301,f,rnd,train,301,10,10,100,1204
f.rnd.10x10.train.302,f,rnd,train,302,10,10,100,1208
f.rnd.10x10.train.303,f,rnd,train,303,10,10,100,1246
f.rnd.10x10.train.304,f,rnd,train,304,10,10,100,1148
f.rnd.10x10.train.305,f,rnd,train,305,10,10,100,1226
f.rnd.10x10.train.306,f,rnd,train,306,10,10,100,1221
f.rnd.10x10.train.307,f,rnd,train,307,10,10,100,1214
f.rnd.10x10.train.308,f,rnd,train,308,10,10,100,1165
f.rnd.10x10.train.309,f,rnd,train,309,10,10,100,1277
f.rnd.10x10.train.310,f,rnd,train,310,10,10,100,1221
f.rnd.10x10.train.311,f,rnd,train,311,10,10,100,1239
f.rnd.10x10.train.312,f,rnd,train,312,10,10,100,1354
f.rnd.10x10.train.313,f,rnd,train,313,10,10,100,1294
f.rnd.10x10.train.314,f,rnd,train,314,10,10,100,1111
f.rnd.10x10.train.315,f,rnd,train,315,10,10,100,1219
f.rnd.10x10.train.316,f,rnd,train,316,10,10,100,1253
f.rnd.10x10.train.317,f,rnd,train,317,10,10,100,1137
f.rnd.10x10.train.318,f,rnd,train,318,10,10,100,1307
f.rnd.10x10.train.319,f,rnd,train,319,10,10,100,1315
f.rnd.10x10.train.320,f,rnd,train,320,10,10,100,1313
f.rnd.10x10.train.321,f,rnd,train,321,10,10,100,1242
f.rnd.10x10.train.322,f,rnd,train,322,10,10,100,1239
f.rnd.10x10.train.323,f,rnd,train,323,10,10,100,1116
f.rnd.10x10.train.324,f,rnd,train,324,10,10,100,1273
f.rnd.10x10.train.325,f,rnd,train,325,10,10,100,1279
f.rnd.10x10.train.326,f,rnd,train,326,10,10,100,1231
f.rnd.10x10.train.327,f,rnd,train,327,10,10,100,1255
f.rnd.10x10.train.328,f,rnd,train,328,10,10,100,1115
f.rnd.10x10.train.329,f,rnd,train,329,10,10,100,1151
f.rnd.10x10.train.330,f,rnd,train,330,10,10,100,1101
f.rnd.10x10.train.331,f,rnd,train,331,10,10,100,1339
f.rnd.10x10.train.332,f,rnd,train,332,10,10,100,1077
f.rnd.10x10.train.333,f,rnd,train,333,10,10,100,1166
f.rnd.10x10.train.334,f,rnd,train,334,10,10,100,1239
f.rnd.10x10.train.335,f,rnd,train,335,10,10,100,1130
f.rnd.10x10.train.336,f,rnd,train,336,10,10,100,1248
f.rnd.10x10.train.337,f,rnd,train,337,10,10,100,1334
f.rnd.10x10.train.338,f,rnd,train,338,10,10,100,1274
f.rnd.10x10.train.339,f,rnd,train,339,10,10,100,1247
f.rnd.10x10.train.340,f,rnd,train,340,10,10,100,1029
f.rnd.10x10.train.341,f,rnd,train,341,10,10,100,1211
f.rnd.10x10.train.342,f,rnd,train,342,10,10,100,1150
f.rnd.10x10.train.343,f,rnd,train,343,10,10,100,1102
f.rnd.10x10.train.344,f,rnd,train,344,10,10,100,1164
f.rnd.10x10.train.345,f,rnd,train,345,10,10,100,1176
f.rnd.10x10.train.346,f,rnd,train,346,10,10,100,1219
f.rnd.10x10.train.347,f,rnd,train,347,10,10,100,1291
f.rnd.10x10.train.348,f,rnd,train,348,10,10,100,1173
f.rnd.10x10.train.349,f,rnd,train,349,10,10,100,1055
f.rnd.10x10.train.350,f,rnd,train,350,10,10,100,1282
f.rnd.10x10.train.351,f,rnd,train,351,10,10,100,1113
f.rnd.10x10.train.352,f,rnd,train,352,10,10,100,1167
f.rnd.10x10.train.353,f,rnd,train,353,10,10,100,1413
f.rnd.10x10.train.354,f,rnd,train,354,10,10,100,1187
f.rnd.10x10.train.355,f,rnd,train,355,10,10,100,1229
f.rnd.10x10.train.356,f,rnd,train,356,10,10,100,1237
f.rnd.10x10.train.357,f,rnd,train,357,10,10,100,1130
f.rnd.10x10.train.358,f,rnd,train,358,10,10,100,1098
f.rnd.10x10.train.359,f,rnd,train,359,10,10,100,1108
f.rnd.10x10.train.360,f,rnd,train,360,10,10,100,1283
f.rnd.10x10.train.361,f,rnd,train,361,10,10,100,1090
