PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,19,1,-32,-1,-34,-179,-213,-2,-165,328,-14,2,0,-46,0,0,6,23,-6,-209,356,0
1,19,1,32,1,34,179,213,2,165,-328,14,-2,0,46,0,0,-6,-23,6,209,-356,0
1,19,1,-32,-1,-39,184,145,2,345,-38,-161,2,0,145,0,0,-190,219,190,-209,-191,0
1,19,1,32,1,39,-184,-145,-2,-345,38,161,-2,0,-145,0,0,190,-219,-190,209,191,0
1,20,1,-24,-1,-62,-242,-304,0,-98,87,-144,3,-1,-60,-27,0,10,40,-10,-36,-113,0
1,20,1,24,1,62,242,304,0,98,-87,144,-3,1,60,27,0,-10,-40,10,36,113,0
1,20,1,-24,-1,-66,-363,-429,-3,-366,328,3,1,0,-262,-27,0,6,-151,-6,-207,396,0
1,20,1,24,1,66,363,429,3,366,-328,-3,-1,0,262,27,0,-6,151,6,207,-396,0
1,20,1,-24,-1,-71,0,-71,1,144,-38,-144,1,0,-71,-27,0,-190,45,190,-207,-151,0
1,20,1,24,1,71,0,71,-1,-144,38,144,-1,0,71,27,0,190,-45,-190,207,151,0
2,0,0,-3,-1,-6,0,-6,0,0,-197,0,-2,0,-6,-6,0,0,0,0,62,-197,0
2,0,0,3,1,6,0,6,0,0,197,0,2,0,6,6,0,0,0,0,-62,197,0
2,0,0,-3,-1,-14,0,-14,0,0,-82,0,1,0,-14,-14,0,0,0,0,-16,-82,0
2,0,0,3,1,14,0,14,0,0,82,0,-1,0,14,14,0,0,0,0,16,82,0
2,0,0,-3,-1,-5,0,-5,0,0,-70,0,-1,0,-5,-5,0,0,0,0,53,-70,0
2,0,0,3,1,5,0,5,0,0,70,0,1,0,5,5,0,0,0,0,-53,70,0
2,0,1,-3,-1,32,0,32,0,0,-64,0,0,0,32,32,0,0,0,0,0,-64,0
2,0,1,3,1,-32,0,-32,0,0,64,0,0,0,-32,-32,0,0,0,0,0,64,0
2,0,0,-3,-1,23,0,23,0,0,-167,0,-2,0,23,23,0,0,0,0,62,-167,0
2,0,0,3,1,-23,0,-23,0,0,167,0,2,0,-23,-23,0,0,0,0,-62,167,0
2,10,1,-2,-1,-10,-339,-349,-4,-378,-197,39,-3,1,-206,-20,0,205,-323,-205,-49,133,0
2,10,1,2,1,10,339,349,4,378,197,-39,3,-1,206,20,0,-205,323,205,49,-133,0
2,10,1,-2,-1,-18,-378,-396,-4,-378,-82,0,0,0,-215,-20,0,197,-197,-197,0,248,0
2,10,1,2,1,18,378,396,4,378,82,0,0,0,215,20,0,-197,197,197,0,-248,0
2,10,1,-2,-1,-9,-378,-387,-4,-378,-70,0,-2,1,-20,-20,0,206,-78,-206,2,260,0
2,10,1,2,1,9,378,387,4,378,70,0,2,-1,20,20,0,-206,78,206,-2,-260,0
2,10,1,-2,-1,-17,-330,-347,-3,-330,-64,0,-3,1,-206,-20,0,198,-316,-198,-49,218,0
2,10,1,2,1,17,330,347,3,330,64,0,3,-1,206,20,0,-198,316,198,49,-218,0
3,0,1,-9,-1,71,0,71,0,0,109,0,0,0,71,71,0,0,0,0,0,109,0
3,0,1,9,1,-71,0,-71,0,0,-109,0,0,0,-71,-71,0,0,0,0,0,-109,0
