PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrivalTime,phi.totProc,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
2,10,3.0.98,0,507,1,55,98,153,1,0,254,98,0,3,153,289,11,0,0,483,201,254,1003
2,10,4.0.98,0,499,0,45,98,143,1,0,254,98,0,3,143,289,11,0,0,483,201,254,1003
2,10,5.0.98,1,499,0,49,98,147,1,0,243,98,0,3,147,289,11,0,0,483,201,243,1003
2,11,2.0.147,0,510,2,52,147,199,1,0,252,147,0,4,199,289,12,0,0,483,152,252,954
2,11,3.0.147,0,507,1,55,147,202,1,0,254,147,0,4,202,289,12,0,0,483,152,254,954
2,11,4.0.147,0,499,0,45,147,192,1,0,254,147,0,4,192,289,12,0,0,483,152,254,954
2,11,5.1.147,1,499,0,47,147,194,2,147,243,0,1,3,194,289,12,0,49,483,200,194,954
2,12,2.0.147,0,510,2,52,147,199,1,0,252,147,0,4,199,289,13,0,0,483,152,252,907
2,12,3.0.147,0,507,1,55,147,202,1,0,254,147,0,4,202,289,13,0,0,483,152,254,907
2,12,4.0.147,0,499,0,45,147,192,1,0,254,147,0,4,192,289,13,0,0,483,152,254,907
2,12,5.2.194,1,499,0,49,194,243,3,194,243,0,2,3,243,289,13,-2,104,485,207,147,907
2,13,2.0.147,0,510,2,52,147,199,1,0,252,147,0,4,199,289,14,0,0,485,152,252,858
2,13,3.0.147,0,507,1,55,147,202,1,0,254,147,0,4,202,289,14,0,0,485,152,254,858
2,13,4.0.147,0,499,0,45,147,192,1,0,254,147,0,4,192,289,14,0,0,485,152,254,858
2,13,5.3.243,1,499,0,49,243,292,4,243,243,0,3,3,292,292,14,-5,149,490,200,98,858
2,14,2.0.147,0,510,2,52,147,199,1,0,252,147,0,4,199,292,15,0,0,490,152,252,809
2,14,3.0.147,0,507,1,55,147,202,1,0,254,147,0,4,202,292,15,0,0,490,152,254,809
2,14,4.0.147,0,499,0,45,147,192,1,0,254,147,0,4,192,292,15,0,0,490,152,254,809
2,14,5.4.292,1,499,0,49,292,341,5,292,243,0,4,3,341,341,15,-3,191,493,195,49,809
