PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
1501,28,2.4.634,0,727,1,44,634,678,634,0,678,678,-9,342,794,5,5,44,93,203,385,29,1619,93
1501,29,2.4.674,1,718,0,44,674,718,634,40,718,718,0,333,785,5,6,44,44,203,385,30,1619,44
1502,0,0.0.0,1,511,2,40,0,40,0,0,40,40,0,0,0,1,1,264,257,264,257,1,1389,1389
1502,0,1.0.0,0,485,0,5,0,5,0,0,5,5,0,0,0,1,1,147,257,147,257,1,1389,1389
1502,0,2.0.0,0,548,4,63,0,63,0,0,63,63,0,0,0,1,1,229,257,229,257,1,1389,1389
1502,0,3.0.0,0,488,1,8,0,8,0,0,8,8,0,0,0,1,1,139,257,139,257,1,1389,1389
1502,0,4.0.0,0,526,3,46,0,46,0,0,46,46,0,0,0,1,1,241,257,241,257,1,1389,1389
1502,0,5.0.0,0,565,5,95,0,95,0,0,95,95,0,0,0,1,1,369,257,369,257,1,1389,1389
1502,1,0.1.40,0,511,0,74,40,114,40,0,114,114,-40,40,40,2,1,224,398,264,398,2,1389,1349
1502,1,1.0.40,1,511,0,5,40,45,0,40,45,45,0,0,0,1,2,147,217,147,257,2,1389,1349
1502,1,2.0.40,0,543,3,63,40,103,0,40,103,103,0,0,0,1,2,229,217,229,257,2,1389,1349
1502,1,3.0.40,0,511,0,8,40,48,0,40,48,48,0,0,0,1,2,139,217,139,257,2,1389,1349
1502,1,4.0.40,0,534,1,46,40,86,0,40,86,86,0,0,0,1,2,241,217,241,257,2,1389,1349
1502,1,5.0.40,0,536,2,95,40,135,0,40,135,135,0,0,0,1,2,369,217,369,257,2,1389,1349
1502,2,0.1.40,0,511,0,74,40,114,40,0,114,114,-40,40,40,2,1,224,398,264,398,3,1389,1344
1502,2,1.1.45,0,523,1,34,45,79,45,0,79,79,-45,45,45,2,1,142,398,147,398,3,1389,1344
1502,2,2.0.45,0,543,3,63,45,108,0,45,108,108,0,0,0,1,3,229,212,229,257,3,1389,1344
1502,2,3.0.45,1,511,0,8,45,53,0,45,53,53,0,0,0,1,3,139,212,139,257,3,1389,1344
1502,2,4.0.45,0,534,2,46,45,91,0,45,91,91,0,0,0,1,3,241,212,241,257,3,1389,1344
1502,2,5.0.45,0,511,0,95,45,140,0,45,140,140,0,0,0,1,3,369,212,369,257,3,1389,1344
1502,3,0.1.40,0,511,0,74,40,114,40,0,114,114,-40,40,40,2,1,224,398,264,398,4,1389,1336
1502,3,1.1.45,0,523,1,34,45,79,45,0,79,79,-45,45,45,2,1,142,398,147,398,4,1389,1336
1502,3,2.0.53,0,543,4,63,53,116,0,53,116,116,0,0,0,1,4,229,204,229,257,4,1389,1336
1502,3,3.1.53,0,533,3,36,53,89,53,0,89,89,-53,53,53,2,1,131,398,139,398,4,1389,1336
1502,3,4.0.53,1,525,2,46,53,99,0,53,99,99,0,0,0,1,4,241,204,241,257,4,1389,1336
1502,3,5.0.53,0,511,0,95,53,148,0,53,148,148,0,0,0,1,4,369,204,369,257,4,1389,1336
1502,4,0.1.40,0,534,2,74,40,114,40,0,114,114,-40,40,40,2,1,224,398,264,398,5,1389,1290
1502,4,1.1.45,0,525,0,34,45,79,45,0,79,99,-45,45,45,2,1,142,398,147,398,5,1389,1290
1502,4,2.0.99,0,556,4,63,99,162,0,99,162,162,0,0,0,1,5,229,158,229,257,5,1389,1290
1502,4,3.1.53,0,533,1,36,53,89,53,0,89,99,-53,53,53,2,1,131,398,139,398,5,1389,1290
1502,4,4.1.99,0,543,3,88,99,187,99,0,187,187,-99,99,99,2,1,195,398,241,398,5,1389,1290
1502,4,5.0.99,1,525,0,95,99,194,0,99,194,194,0,0,0,1,5,369,158,369,257,5,1389,1290
1502,5,0.1.40,0,534,2,74,40,114,40,0,114,194,-40,40,40,2,1,224,398,264,398,6,1389,1195
1502,5,1.1.45,0,525,0,34,45,79,45,0,79,194,-45,45,45,2,1,142,398,147,398,6,1389,1195
1502,5,2.0.194,1,525,0,63,194,257,0,194,257,257,0,0,0,1,6,229,63,229,257,6,1389,1195
1502,5,3.1.53,0,533,1,36,53,89,53,0,89,194,-53,53,53,2,1,131,398,139,398,6,1389,1195
1502,5,4.1.99,0,543,3,88,99,187,99,0,187,194,-99,99,99,2,1,195,398,241,398,6,1389,1195
1502,5,5.1.194,0,534,2,72,194,266,194,0,266,266,-194,194,194,2,1,274,398,369,398,6,1389,1195
1502,6,0.1.40,1,534,2,74,40,114,40,0,114,257,-40,40,40,2,1,224,398,264,398,7,1389,1132
1502,6,1.1.45,0,525,0,34,45,79,45,0,79,257,-45,45,45,2,1,142,398,147,398,7,1389,1132
1502,6,2.1.257,0,647,4,94,257,351,257,0,351,351,-257,257,257,2,1,166,398,229,398,7,1389,1132
