PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
2,5,1.2.0,1,450,0,45,0,45,1,0,242,0,2,2,91,239,6,45,1,420,252,242,1245
2,5,2.3.0,0,450,0,45,0,45,1,0,252,0,3,2,188,239,6,45,95,420,246,252,1245
2,5,3.1.0,0,450,0,46,0,46,1,0,254,0,1,2,140,239,6,46,45,419,249,254,1245
2,5,4.2.91,0,450,0,50,91,141,1,0,254,91,2,2,141,239,6,0,46,465,252,254,1245
2,5,5.0.46,0,450,0,49,46,95,1,0,243,46,0,2,95,239,6,0,0,465,253,243,1245
2,6,1.0.46,1,532,1,52,46,98,2,45,242,1,0,2,98,239,7,0,0,420,253,197,1200
2,6,2.3.0,0,450,0,45,0,45,1,0,252,0,3,2,188,239,7,45,95,375,246,252,1200
2,6,3.1.0,0,450,0,46,0,46,1,0,254,0,1,2,140,239,7,46,45,374,249,254,1200
2,6,4.2.91,0,450,0,50,91,141,1,0,254,91,2,3,141,239,7,0,1,420,207,254,1200
2,6,5.0.46,0,450,0,49,46,95,1,0,243,46,0,2,95,239,7,0,0,420,253,243,1200
2,7,1.4.98,1,532,0,50,98,148,3,98,242,0,4,2,239,239,8,50,138,370,245,145,1148
2,7,2.3.0,0,532,0,45,0,45,1,0,252,0,3,2,188,239,8,45,95,375,246,252,1148
2,7,3.1.0,0,532,0,46,0,46,1,0,254,0,1,2,140,239,8,46,45,374,249,254,1148
2,7,4.2.91,0,532,0,50,91,141,1,0,254,91,2,3,141,239,8,0,1,420,207,254,1148
2,7,5.0.98,0,532,0,49,98,147,1,0,243,98,0,3,147,239,8,0,0,420,201,243,1148
2,8,1.1.148,1,532,0,49,148,197,4,148,242,0,1,2,197,239,9,-8,99,378,249,95,1098
2,8,2.3.0,0,532,0,45,0,45,1,0,252,0,3,2,188,239,9,45,95,325,246,252,1098
2,8,3.1.0,0,532,0,46,0,46,1,0,254,0,1,2,140,239,9,46,45,324,249,254,1098
2,8,4.2.91,0,532,0,50,91,141,1,0,254,91,2,3,141,239,9,0,1,370,207,254,1098
2,8,5.0.98,0,532,0,49,98,147,1,0,243,98,0,3,147,239,9,0,0,370,201,243,1098
2,9,1.3.197,1,532,0,46,197,243,5,197,242,0,3,2,243,243,10,-9,149,387,246,46,1049
2,9,2.3.0,0,532,0,45,0,45,1,0,252,0,3,2,188,239,10,45,95,333,246,252,1049
2,9,3.1.0,0,532,0,46,0,46,1,0,254,0,1,3,197,239,10,46,53,332,200,254,1049
2,9,4.2.91,0,532,0,50,91,141,1,0,254,91,2,3,141,239,10,0,1,378,207,254,1049
2,9,5.0.98,0,532,0,49,98,147,1,0,243,98,0,3,147,239,10,0,0,378,201,243,1049
2,10,2.3.0,0,532,0,45,0,45,1,0,252,0,3,3,243,243,11,45,104,342,200,252,1003
2,10,3.1.0,0,532,0,46,0,46,1,0,254,0,1,3,197,243,11,46,53,341,200,254,1003
2,10,4.2.91,0,532,0,50,91,141,1,0,254,91,2,3,141,243,11,0,1,387,207,254,1003
2,10,5.0.98,1,532,0,49,98,147,1,0,243,98,0,3,147,243,11,0,0,387,201,243,1003
2,11,2.3.0,0,532,0,45,0,45,1,0,252,0,3,3,243,243,12,45,104,342,200,252,954
2,11,3.1.0,0,532,0,46,0,46,1,0,254,0,1,3,197,243,12,46,53,341,200,254,954
2,11,4.2.91,0,532,0,50,91,141,1,0,254,91,2,3,141,243,12,0,1,387,207,254,954
2,11,5.4.239,1,541,1,49,239,288,2,147,243,92,4,3,288,288,12,0,138,387,195,194,954
2,12,2.3.0,0,541,0,45,0,45,1,0,252,0,3,3,243,288,13,45,104,342,200,252,905
2,12,3.1.0,0,541,0,46,0,46,1,0,254,0,1,3,197,288,13,46,53,341,200,254,905
2,12,4.2.91,0,541,0,50,91,141,1,0,254,91,2,3,141,288,13,0,1,387,207,254,905
2,12,5.1.288,1,541,0,47,288,335,3,288,243,0,1,3,335,335,13,-91,190,478,200,145,905
2,13,2.3.0,0,541,0,45,0,45,1,0,252,0,3,3,243,335,14,45,104,433,200,252,858
2,13,3.1.0,0,541,0,46,0,46,1,0,254,0,1,4,335,335,14,46,144,432,153,254,858
2,13,4.2.91,0,541,0,50,91,141,1,0,254,91,2,3,141,335,14,0,1,478,207,254,858
2,13,5.2.335,1,544,1,49,335,384,4,335,243,0,2,3,384,384,14,-244,245,722,207,98,858
2,14,2.3.0,0,544,0,45,0,45,1,0,252,0,3,3,243,384,15,45,104,677,200,252,809
2,14,3.1.0,0,544,0,46,0,46,1,0,254,0,1,4,335,384,15,46,144,676,153,254,809
2,14,4.2.91,0,544,0,50,91,141,1,0,254,91,2,4,384,384,15,50,195,672,158,254,809
2,14,5.3.384,1,544,0,49,384,433,5,384,243,0,3,3,433,433,15,-141,290,863,200,49,809
2,15,2.3.0,1,544,0,45,0,45,1,0,252,0,3,4,433,433,16,45,245,818,151,252,760
2,15,3.1.0,0,544,0,46,0,46,1,0,254,0,1,4,335,433,16,46,144,817,153,254,760
2,15,4.2.91,0,544,0,50,91,141,1,0,254,91,2,4,384,433,16,50,195,813,158,254,760
2,16,2.4.45,1,546,1,47,45,92,2,45,252,0,4,4,288,433,17,47,91,771,146,207,715
2,16,3.1.0,0,544,0,46,0,46,1,0,254,0,1,4,335,433,17,46,144,772,153,254,715
2,16,4.2.91,0,544,0,50,91,141,1,0,254,91,2,4,384,433,17,50,195,768,158,254,715
2,17,2.2.92,1,546,0,54,92,146,3,92,252,0,2,4,384,433,18,54,191,717,158,160,668
2,17,3.1.0,0,546,0,46,0,46,1,0,254,0,1,4,335,433,18,46,144,725,153,254,668
2,17,4.2.91,0,546,0,50,91,141,1,0,254,91,2,4,384,433,18,50,195,721,158,254,668
2,18,2.0.147,1,546,0,52,147,199,4,146,252,1,0,4,199,433,19,0,0,717,152,106,614
2,18,3.1.0,0,546,0,46,0,46,1,0,254,0,1,4,335,433,19,46,144,671,153,254,614
2,18,4.2.146,0,546,0,50,146,196,1,0,254,146,2,5,384,433,19,50,141,667,104,254,614
2,19,2.1.199,1,546,0,54,199,253,5,199,252,0,1,4,335,433,20,54,136,663,153,54,562
2,19,3.1.0,0,546,0,46,0,46,1,0,254,0,1,4,335,433,20,46,144,671,153,254,562
2,19,4.2.146,0,546,0,50,146,196,1,0,254,146,2,5,384,433,20,50,141,667,104,254,562
2,20,3.1.0,1,546,0,46,0,46,1,0,254,0,1,5,335,433,21,46,90,617,99,254,508
2,20,4.2.146,0,546,0,50,146,196,1,0,254,146,2,5,384,433,21,50,141,613,104,254,508
2,21,3.4.288,1,546,0,47,288,335,2,46,254,242,4,5,335,433,22,0,91,617,99,208,462
2,21,4.2.146,0,546,0,50,146,196,1,0,254,146,2,5,384,433,22,50,141,567,104,254,462
2,22,3.0.335,1,546,0,55,335,390,3,335,254,0,0,5,390,433,23,-136,136,753,100,161,415
2,22,4.2.146,0,546,0,50,146,196,1,0,254,146,2,5,384,433,23,50,141,567,104,254,415
2,23,3.2.390,1,546,0,54,390,444,4,390,254,0,2,5,444,444,24,-6,197,759,104,106,360
2,23,4.2.146,0,546,0,50,146,196,1,0,254,146,2,5,384,433,24,50,141,703,104,254,360
2,24,3.3.444,1,550,1,52,444,496,5,444,254,0,3,5,496,496,25,-11,256,770,106,52,306
2,24,4.2.146,0,546,0,50,146,196,1,0,254,146,2,6,444,444,25,50,147,709,50,254,306
2,25,4.2.146,1,550,0,50,146,196,1,0,254,146,2,6,444,496,26,50,147,720,50,254,254
2,26,4.0.199,1,550,0,45,199,244,2,196,254,3,0,6,390,496,27,45,91,675,45,204,204
2,27,4.4.335,1,550,0,52,335,387,3,244,254,91,4,6,387,496,28,0,91,675,52,159,159
2,28,4.1.387,1,550,0,53,387,440,4,387,254,0,1,6,440,496,29,-52,142,727,53,107,107
2,29,4.3.496,1,550,0,54,496,550,5,440,254,56,3,6,550,550,30,0,256,727,54,54,54
3,0,0.3.0,1,390,2,49,0,49,1,0,233,0,3,1,49,49,1,0,0,0,300,233,1470
3,0,1.3.0,0,394,3,50,0,50,1,0,241,0,3,1,50,50,1,0,0,0,300,241,1470
3,0,2.4.0,0,383,0,54,0,54,1,0,255,0,4,1,54,54,1,0,0,0,300,255,1470
3,0,3.3.0,0,384,1,48,0,48,1,0,250,0,3,1,48,48,1,0,0,0,300,250,1470
3,0,4.2.0,0,383,0,50,0,50,1,0,248,0,2,1,50,50,1,0,0,0,293,248,1470
3,0,5.3.0,0,383,0,47,0,47,1,0,243,0,3,1,47,47,1,0,0,0,300,243,1470
3,1,0.1.49,1,390,0,46,49,95,2,49,233,0,1,1,95,95,2,-49,49,49,289,184,1421
3,1,1.3.49,0,392,1,50,49,99,1,0,241,49,3,2,99,99,2,0,0,0,251,241,1421
3,1,2.4.0,0,390,0,54,0,54,1,0,255,0,4,1,54,54,2,0,0,0,300,255,1421
3,1,3.3.49,0,390,0,48,49,97,1,0,250,49,3,2,97,97,2,0,0,0,251,250,1421
3,1,4.2.0,0,390,0,50,0,50,1,0,248,0,2,1,50,50,2,0,0,0,293,248,1421
3,1,5.3.49,0,390,0,47,49,96,1,0,243,49,3,2,96,96,2,0,0,0,251,243,1421
3,2,0.0.95,1,390,0,47,95,142,3,95,233,0,0,1,142,142,3,-95,95,144,288,138,1375
3,2,1.3.49,0,392,1,50,49,99,1,0,241,49,3,2,99,99,3,0,0,49,251,241,1375
3,2,2.4.0,0,390,0,54,0,54,1,0,255,0,4,1,54,95,3,0,0,49,300,255,1375
3,2,3.3.49,0,390,0,48,49,97,1,0,250,49,3,2,97,97,3,0,0,49,251,250,1375
3,2,4.2.0,0,390,0,50,0,50,1,0,248,0,2,1,50,95,3,0,0,49,293,248,1375
3,2,5.3.49,0,390,0,47,49,96,1,0,243,49,3,2,96,96,3,0,0,49,251,243,1375
3,3,0.2.142,1,390,0,45,142,187,4,142,233,0,2,1,187,187,4,-142,142,286,293,91,1328
3,3,1.3.49,0,393,1,50,49,99,1,0,241,49,3,2,99,142,4,0,0,144,251,241,1328
3,3,2.4.0,0,390,0,54,0,54,1,0,255,0,4,1,54,142,4,0,0,144,300,255,1328
3,3,3.3.49,0,390,0,48,49,97,1,0,250,49,3,2,97,142,4,0,0,144,251,250,1328
3,3,4.2.0,0,390,0,50,0,50,1,0,248,0,2,1,50,142,4,0,0,144,293,248,1328
3,3,5.3.49,0,393,1,47,49,96,1,0,243,49,3,2,96,142,4,0,0,144,251,243,1328
3,4,0.4.187,1,426,2,46,187,233,5,187,233,0,4,1,233,233,5,-187,187,473,300,46,1283
3,4,1.3.49,0,393,1,50,49,99,1,0,241,49,3,2,99,187,5,0,0,286,251,241,1283
3,4,2.4.0,0,390,0,54,0,54,1,0,255,0,4,1,54,187,5,0,0,286,300,255,1283
3,4,3.3.49,0,390,0,48,49,97,1,0,250,49,3,2,97,187,5,0,0,286,251,250,1283
3,4,4.2.0,0,390,0,50,0,50,1,0,248,0,2,2,187,187,5,50,92,236,248,248,1283
3,4,5.3.49,0,393,1,47,49,96,1,0,243,49,3,2,96,187,5,0,0,286,251,243,1283
3,5,1.3.49,1,478,1,50,49,99,1,0,241,49,3,2,99,233,6,0,0,473,251,241,1237
3,5,2.4.0,0,426,0,54,0,54,1,0,255,0,4,2,233,233,6,54,133,419,254,255,1237
3,5,3.3.49,0,426,0,48,49,97,1,0,250,49,3,2,97,233,6,0,0,473,251,250,1237
3,5,4.2.0,0,426,0,50,0,50,1,0,248,0,2,2,187,233,6,50,92,423,248,248,1237
3,5,5.3.49,0,478,1,47,49,96,1,0,243,49,3,2,96,233,6,0,0,473,251,243,1237
3,6,1.0.142,1,478,0,49,142,191,2,99,241,43,0,2,191,233,7,0,95,473,241,191,1187
3,6,2.4.0,0,478,0,54,0,54,1,0,255,0,4,2,233,233,7,54,133,419,254,255,1187
3,6,3.3.99,0,478,0,48,99,147,1,0,250,99,3,3,147,233,7,0,0,473,201,250,1187
3,6,4.2.0,0,478,0,50,0,50,1,0,248,0,2,2,187,233,7,50,92,423,248,248,1187
3,6,5.3.99,0,478,0,47,99,146,1,0,243,99,3,3,146,233,7,0,0,473,201,243,1187
3,7,1.4.233,1,487,1,51,233,284,3,191,241,42,4,2,284,284,8,0,187,473,254,142,1138
3,7,2.4.0,0,478,0,54,0,54,1,0,255,0,4,2,233,233,8,54,133,419,254,255,1138
