PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
1,6,1,2,0,-9,0,-32,-9,0,-2,2,2,0,1,1,0
1,6,-1,-2,0,3,0,17,3,3,1,4,-2,1,1,1,1
1,6,1,2,0,-3,0,-17,-3,-3,-1,-4,2,1,1,1,1
1,6,-1,-2,0,1,0,29,1,2,0,5,-2,1,1,1,1
1,6,1,2,0,-1,0,-29,-1,-2,0,-5,2,1,1,1,1
1,7,-1,-2,1,-20,0,0,-20,1,5,25,-2,1,0,0,0
1,7,1,2,1,20,0,0,20,-1,-5,-25,2,1,0,0,0
1,7,-1,-2,0,9,0,32,-20,5,5,18,-2,0,1,0,1
1,7,1,2,0,-9,0,-32,20,-5,-5,-18,2,0,1,0,1
1,7,-1,-2,0,3,0,17,3,4,6,17,-2,1,1,0,1
1,7,1,2,0,-3,0,-17,-3,-4,-6,-17,2,1,1,0,1
1,7,-1,-2,0,1,0,29,1,2,4,2,-2,1,1,0,1
1,7,1,2,0,-1,0,-29,-1,-2,-4,-2,2,1,1,0,1
1,8,-1,-2,1,-20,0,0,-20,7,5,8,-2,1,0,0,1
1,8,1,2,1,20,0,0,20,-7,-5,-8,2,1,0,0,1
1,8,-1,-2,0,-20,0,32,-20,5,7,30,-2,0,1,1,0
1,8,1,2,0,20,0,-32,20,-5,-7,-30,2,0,1,1,0
1,8,-1,-2,0,3,0,17,3,2,5,25,-2,1,1,1,1
1,8,1,2,0,-3,0,-17,-3,-2,-5,-25,2,1,1,1,1
1,8,-1,-2,0,1,0,29,1,2,3,27,-2,1,1,1,1
1,8,1,2,0,-1,0,-29,-1,-2,-3,-27,2,1,1,1,1
1,9,-1,-2,1,-20,0,0,-20,-2,2,29,-2,1,0,0,1
1,9,1,2,1,20,0,0,20,2,-2,-29,2,1,0,0,1
1,9,-1,-2,0,-20,0,32,-20,1,4,12,-2,0,1,1,0
1,9,1,2,0,20,0,-32,20,-1,-4,-12,2,0,1,1,0
1,9,-1,-2,0,3,0,17,3,4,4,25,-2,1,1,1,1
1,9,1,2,0,-3,0,-17,-3,-4,-4,-25,2,1,1,1,1
1,9,-1,-2,0,1,0,29,1,1,3,26,-2,1,1,1,1
1,9,1,2,0,-1,0,-29,-1,-1,-3,-26,2,1,1,1,1
1,10,-1,-2,1,-20,0,32,-20,5,5,30,-2,0,0,0,0
1,10,1,2,1,20,0,-32,20,-5,-5,-30,2,0,0,0,0
1,10,-1,-2,1,3,0,17,3,5,3,10,-2,1,0,0,1
1,10,1,2,1,-3,0,-17,-3,-5,-3,-10,2,1,0,0,1
1,10,-1,-2,1,1,0,29,1,2,3,6,-2,1,0,0,1
1,10,1,2,1,-1,0,-29,-1,-2,-3,-6,2,1,0,0,1
1,11,-1,-4,1,10,0,0,-8,-2,1,0,-4,1,0,0,1
1,11,1,4,1,-10,0,0,8,2,-1,0,4,1,0,0,1
1,11,-1,-4,0,10,0,32,10,2,0,-1,-4,0,1,1,0
1,11,1,4,0,-10,0,-32,-10,-2,0,1,4,0,1,1,0
1,11,-1,-4,0,2,0,6,2,5,1,0,-4,1,1,1,1
1,11,1,4,0,-2,0,-6,-2,-5,-1,0,4,1,1,1,1
1,12,-1,-4,1,-8,0,0,-8,-2,1,0,-4,1,0,0,0
1,12,1,4,1,8,0,0,8,2,-1,0,4,1,0,0,0
1,12,-1,-4,0,10,0,32,-8,1,0,-1,-4,0,1,0,1
1,12,1,4,0,-10,0,-32,8,-1,0,1,4,0,1,0,1
1,12,-1,-4,0,2,0,6,2,0,0,0,-4,1,1,0,1
1,12,1,4,0,-2,0,-6,-2,0,0,0,4,1,1,0,1
1,13,-1,-4,1,-8,0,0,-8,3,3,0,-4,1,0,0,1
1,13,1,4,1,8,0,0,8,-3,-3,0,4,1,0,0,1
1,13,-1,-4,0,-8,0,32,-8,-1,1,-1,-4,0,1,1,0
1,13,1,4,0,8,0,-32,8,1,-1,1,4,0,1,1,0
1,13,-1,-4,0,2,0,6,2,0,1,0,-4,1,1,1,1
1,13,1,4,0,-2,0,-6,-2,0,-1,0,4,1,1,1,1
1,14,-1,-4,1,-8,0,0,-8,2,2,-1,-4,1,0,0,1
1,14,1,4,1,8,0,0,8,-2,-2,1,4,1,0,0,1
1,14,-1,-4,0,-8,0,32,-8,5,4,-1,-4,0,1,1,0
1,14,1,4,0,8,0,-32,8,-5,-4,1,4,0,1,1,0
1,14,-1,-4,0,2,0,6,2,4,3,0,-4,1,1,1,1
1,14,1,4,0,-2,0,-6,-2,-4,-3,0,4,1,1,1,1
1,15,-1,-4,1,-8,0,32,-8,1,2,-1,-4,0,0,0,0
1,15,1,4,1,8,0,-32,8,-1,-2,1,4,0,0,0,0
1,15,-1,-4,1,2,0,6,2,7,5,0,-4,1,0,0,1
1,15,1,4,1,-2,0,-6,-2,-7,-5,0,4,1,0,0,1
2,0,-1,-2,0,-32,-2,3,-1,-13,0,-25,-23,1,1,0,0
2,0,1,2,0,32,2,-3,1,13,0,25,23,1,1,0,0
2,0,-1,-2,0,-1,-2,4,-32,-8,3,3,-21,0,1,0,1
2,0,1,2,0,1,2,-4,32,8,-3,-3,21,0,1,0,1
2,0,-1,-2,0,-32,-2,4,-32,-11,1,-2,-22,1,1,0,1
2,0,1,2,0,32,2,-4,32,11,-1,2,22,1,1,0,1
2,0,-1,-2,1,-32,-2,-27,-1,-15,-1,-29,-23,1,0,1,0
2,0,1,2,1,32,2,27,1,15,1,29,23,1,0,1,0
2,0,-1,-2,0,-33,-2,2,-2,-18,-5,-37,-23,1,1,1,0
2,0,1,2,0,33,2,-2,2,18,5,37,23,1,1,1,0
2,1,-1,-2,0,-32,-2,-31,-1,-11,-2,-30,-2,1,1,1,0
2,1,1,2,0,32,2,31,1,11,2,30,2,1,1,1,0
2,1,-1,-2,0,-1,-2,-31,-32,-8,-2,-27,-2,0,1,1,1
2,1,1,2,0,1,2,31,32,8,2,27,2,0,1,1,1
2,1,-1,-2,0,-32,-2,-31,-32,-11,-2,-29,-2,1,1,1,1
2,1,1,2,0,32,2,31,32,11,2,29,2,1,1,1,1
2,1,-1,-2,1,-31,-2,-31,0,-5,-1,-4,-2,1,0,0,0
2,1,1,2,1,31,2,31,0,5,1,4,2,1,0,0,0
2,1,-1,-2,0,-33,-2,-1,-2,-12,-3,-5,-2,1,1,1,0
2,1,1,2,0,33,2,1,2,12,3,5,2,1,1,1,0
2,2,-1,-2,0,-32,-2,-31,-1,-11,-3,-7,-2,1,1,0,0
2,2,1,2,0,32,2,31,1,11,3,7,2,1,1,0,0
2,2,-1,-2,0,-1,-2,-31,-32,-10,-2,-8,-2,0,1,0,1
2,2,1,2,0,1,2,31,32,10,2,8,2,0,1,0,1
2,2,-1,-2,0,-32,-2,-31,-32,-11,-2,-7,-2,1,1,0,1
2,2,1,2,0,32,2,31,32,11,2,7,2,1,1,0,1
2,2,-1,-2,1,-31,-2,-31,0,-3,0,-3,-1,1,0,1,0
2,2,1,2,1,31,2,31,0,3,0,3,1,1,0,1,0
2,2,-1,-2,0,-33,-2,-1,-2,-12,-3,-27,-2,1,1,1,0
2,2,1,2,0,33,2,1,2,12,3,27,2,1,1,1,0
2,3,-1,-2,0,-32,-2,-31,-1,-9,0,-3,-2,1,1,1,0
2,3,1,2,0,32,2,31,1,9,0,3,2,1,1,1,0
2,3,-1,-2,0,-1,-2,-31,-32,-10,-2,-3,-2,0,1,1,1
2,3,1,2,0,1,2,31,32,10,2,3,2,0,1,1,1
2,3,-1,-2,0,-32,-2,-31,-32,-8,-2,-2,-2,1,1,1,1
2,3,1,2,0,32,2,31,32,8,2,2,2,1,1,1,1
2,3,-1,-2,1,-31,-2,-31,0,-1,2,0,-2,1,0,0,0
2,3,1,2,1,31,2,31,0,1,-2,0,2,1,0,0,0
